start,ende,strasse,geschwindigkeit,hausnummer,fahrtrichtung,reichweite,akkuwechsel,anmerkung1,anmerkung2,hausnummer_geodaten,hausnummer_zusatz,strasse_geodaten,id_strasse,id_standort,lat_geodaten,lon_geodaten,lat_osm,lon_osm
26.04.2021,21.06.2021,Fuerstenbergstraße,,51,Radolfzellerstr.,60.0,,,,,,Fürstenbergstraße,77910,,47.68566027904141,9.15382335277849,47.6855617076258,9.15376972183316
03.05.2021,14.06.2021,Jakobstraße ,,87,Stadion,50.0,,,,,,Jakobstraße,78428,,47.67141652601527,9.209389137816329,47.67136990510048,9.209142245764143
03.05.2021,21.06.2021,Byk-Gulden-Straße,,25,Max-Stromeyer-Str.,80.0,,,,,,Byk-Gulden-Straße,77504,,47.68268592839218,9.139818002519718,47.68284719933883,9.13987080329523
03.05.2015,14.06.2021,Reichenaustraße,,19,Stadteinwaerts,50.0,,,,,,Reichenaustraße,79240,,47.67137297680365,9.16685817713224,47.6716912912142,9.166875950406816
03.05.2021,28.06.2021,Von-Emmich-Straße,,9,Bruder-Klaus-Str.,40.0,,,,,,von-Emmich-Straße,79926,,47.67187933990376,9.177140838563442,47.67198605559048,9.177174657298687
03.05.2021,14.06.2021,Brandesstraße,,2,Haendelstr.,50.0,,,Viasis,,,Brandesstraße,77385,,47.67218725337026,9.194575551139495,47.67175000814146,9.194568696704902
10.05.2021,19.07.2021,Buhlenweg,,13,GSS,50.0,,,,,,Buhlenweg,77490,,47.68434154202348,9.15925802791954,47.6842468043315,9.15934790726834
31.05.2021,19.07.2021,Wollmatinger Straße,,89,Fuertenbergstr.,50.0,,,,,,Wollmatinger Straße,80038,,47.67865891195349,9.171345315059636,47.67878686992496,9.171383869023584
31.05.2021,28.06.2021,Litzelstetter Str,,40,Ortsausgang,50.0,,,,,,Litzelstetter Straße,78715,,47.69330108545333,9.15147324399604,47.69342624931603,9.15136429701642
31.05.2021,28.06.2021,Gartenstraße,,58,Neue Bruecke,50.0,,,Viasis,,,Gartenstraße,77938,,47.66595182516236,9.167249420172416,47.66587610867701,9.167236940139995
31.05.2021,21.06.2021,Schwaketenstraße,,104,Universitaetsstr.,80.0,,,,,,Schwaketenstraße,79583,,47.68768384992941,9.159885035250998,47.68783933784897,9.15990844717216
14.06.2021,09.08.2021,Mainaustr,,148,Faehre,40.0,,,,,,Mainaustraße,78799,,47.68141138014823,9.202455576241434,47.68150224402573,9.202231565711656
14.06.2021,19.07.2021,Zeppelinstraße,,8,Hebelstr,50.0,,,Viasis,,,Zeppelinstraße,80066,,47.67135198880979,9.19228478729632,47.6714673112466,9.19230961471329
14.06.2021,17.08.2021,Am Pfeiferhölzle,,15,Stockackerweg,80.0,,,,,,Am Pfeiferhölzle,77101,,47.682721370794845,9.175218090091285,47.68244019211192,9.175267642740334
14.06.2021,19.07.2021,Jakobstraße ,,87,Lindauerstr.,50.0,,,,,,Jakobstraße,78428,,47.67141652601527,9.209389137816329,47.67136990510048,9.209142245764143
21.06.2021,17.08.2021,Kindlebildstraße,,28,Radolfzellerstr.,100.0,,,,,,Kindlebildstraße,78512,,47.691859488907205,9.14086959216331,47.6918589,9.1423292
21.06.2021,09.08.2021,Friedrichstraße,,71,Zaehringerplatz,50.0,,Blindmessung seit 05.08.21,,,,Friedrichstraße,77889,,47.67978738589899,9.18419143612127,47.67988620910961,9.184347530583118
21.06.2021,17.08.2021,Fuerstenbergstraße,,51,Buhlenweg,100.0,,,,,,Fürstenbergstraße,77910,,47.68566027904141,9.15382335277849,47.6855617076258,9.15376972183316
21.06.2021,09.08.2021,Byk-Gulden-Straße,,25,Stadtauswaerts,100.0,,,,,,Byk-Gulden-Straße,77504,,47.68268592839218,9.139818002519718,47.68284719933883,9.13987080329523
21.06.2021,17.08.2021,Stifterstraße ,,8,Radolfzellerstr.,50.0,,,,,,Stifterstraße,79765,,47.6888719805078,9.149827353286891,47.68895748831429,9.14984618143894
28.06.2021,23.08.2021,Am Briel,,56,Bismarksteig,40.0,,,,,,Am Briel,77077,,47.67675039696618,9.174695569472732,47.676584605259045,9.174617112007068
28.06.2021,19.07.2021,Am Pfeiferhölzle,,2,Universitaetsstr.,50.0,,Statistik Komplett,Viasis,,,Am Pfeiferhölzle,77101,,47.68302690664336,9.178040518016294,47.68288886931228,9.178167503777145
28.06.2021,28.09.2021,H.-von-Vicari-Straße,,19,Jakobstr.,50.0,,,,,,Hermann-von-Vicari-Straße,78225,,47.67358193191733,9.201540855093054,47.67343877377024,9.201537866405223
19.07.2021,31.08.2021,Buhlenweg,,13,Fuerstenberg,50.0,,,,,,Buhlenweg,77490,,47.68434154202348,9.15925802791954,47.6842468043315,9.15934790726834
19.07.2021,13.09.2021,Wollmatinger Straße,,89,Stadteinwaerts,100.0,,,,,,Wollmatinger Straße,80038,,47.67865891195349,9.171345315059636,47.67878686992496,9.171383869023584
19.07.2021,13.09.2021,Brueelstraße ,,20,Feldstr. ,50.0,,,,,,Brüelstraße,77441,,47.66408624845015,9.166127561339826,47.663943783180784,9.16597058105774
19.07.2021,16.08.2021,Am Pfeiferhölzle,,2,Friedhof,50.0,,,Viasis,,,Am Pfeiferhölzle,77101,,47.68302690664336,9.178040518016294,47.68288886931228,9.178167503777145
19.07.2021,16.08.2021,Beethofenstraße,,17,Mainaustr.,50.0,,,Viasis,,,Beethovenstraße,77252,,47.67089788073102,9.192227303675182,47.67072833752713,9.192263805435594
09.08.2021,28.09.2021,Eichhornstraße,,56,Hoernle,80.0,,,,,,Eichhornstraße,77672,,47.666476176354,9.198647166322798,47.667047096365366,9.198814681775184
