start,ende,strasse,geschwindigkeit,hausnummer,fahrtrichtung,reichweite,akkuwechsel,anmerkung1,anmerkung2,hausnummer_geodaten,hausnummer_zusatz,strasse_geodaten,id_strasse,id_standort,lat_geodaten,lon_geodaten,lat_osm,lon_osm
25.11.2024,10.12.2024,Friedrichstraße,,65,Zaehringerplatz,50.0,,Voreingestellt auf neue 30 km/h Zone (SP),11.12.2024,,,Friedrichstraße,77889,,47.67946326347804,9.184431314150777,47.6795465,9.1845626
02.12.2024,13.12.2024,Fuerstenbergstraße,,16,Hardtstrasse,50.0,,,07.01.2025,,,Fürstenbergstraße,77910,,47.68700142198718,9.150332219642635,47.68711983526022,9.150381787989486
02.12.2024,03.02.2024,Wollmatingertrasse,,70,Steinstrasse,50.0,,,11.02.2025,,,Wollmatinger Straße,80038,,47.679095812045865,9.170941852743528,47.67899768378815,9.170917925106185
02.12.2024,03.02.2024,Reutestraße,,54,Elberfeldstrasse,50.0,,,04.02.2025,,,Reutestraße,79261,,47.681691551217845,9.15424591129636,47.68184310122441,9.154306309197885
10.12.2024,20.01.2025,Friedrichstraße,,65,Zaehringerplatz,50.0,,Neuer 30 km/h Bereich,29.01.2025,,,Friedrichstraße,77889,,47.67946326347804,9.184431314150777,47.6795465,9.1845626
11.12.2024,10.02.2025,Kapitän-Romer-Straße,,40,Ortsmitte,50.0,,,11.02.2025,,,Kapitän-Romer-Straße,78473,,47.73894675120064,9.116813756056397,47.73912720610692,9.116798542186409
13.12.2024,10.02.2025,Fuerstenbergstraße,,16,Hardtstr.,50.0,,Neuer 30 km/h Bereich,11.02.2025,,,Fürstenbergstraße,77910,,47.68700142198718,9.150332219642635,47.68711983526022,9.150381787989486
16.12.2024,24.02.2025,Riedstraße,,1,Breslauerstrasse,50.0,,Neue 30 km/h Bereich,03.03.2025,,,Riedstraße,79303,,47.68717359654558,9.148637072478714,47.687173146593715,9.148419070801664
13.01.2025,20.01.2025,Am Pfeiferhölzle,,16,Stockackerweg,50.0,,,GeDi Defekt !!!/29.01.2025,,,Am Pfeiferhölzle,77101,,47.68240819557582,9.174250113784488,47.68254476982973,9.174279587187778
13.01.2025,24.02.2025,Mainaustraße Egg,,210,Ortsausgang,50.0,,,03.03.2025,,,Mainaustraße,78799,,47.69052086885159,9.194041659150642,47.69040547213561,9.19385175752264
20.01.2025,10.03.2025,Spanierstraße,,11,Benediktienerplatz,50.0,,,27.03.2025,,,Spanierstraße,79695,,47.66925335196794,9.175740603561923,47.66949942984631,9.176072542379663
20.01.2025,17.03.2025,Friedrichstraße,,65,Sonnenbuehlstr.,50.0,,,19.03.2025,,,Friedrichstraße,77889,,47.67946326347804,9.184431314150777,47.6795465,9.1845626
27.01.2025,03.02.2025,Schneckenburgstraße,,5,Friedhof,50.0,,,28.03.2025,,,Schneckenburgstraße,79520,,47.6726695167304,9.169578848393028,47.67256358446173,9.169729704644961
03.02.2025,24.03.2025,Zähringerplatz,,16,Th.-Heuss-Str.,50.0,,,,,,Zähringerplatz,80045,,47.672106283703656,9.183763697345212,47.67226226242101,9.183582287315254
03.02.2025,24.03.2025,Allmannsdorferstraße,,36,Mainaustrasse,50.0,,,27.03.2025,,,Allmannsdorfer Straße,77014,,47.67361680918193,9.187385744235357,47.67375293121291,9.187377074228237
03.02.2025,01.04.2025,Mainaustraße,,181,Egg,50.0,,Zeitumstellung 31.03.25,24.04.2025,,,Mainaustraße,78799,,47.68454834581023,9.199521641685063,47.6848851,9.2004388
03.02.2025,24.03.2025,Th.-Heuss-Straße,,27,Zaehringerplatz,50.0,,,27.03.2025,,,Theodor-Heuss-Straße,79828,,47.67022554186982,9.18203935639752,47.67013102119796,9.18214809495903
03.02.2025,10.03.2025,Schneckenburgstraße ,,5,Friedhof,50.0,,Baustelle !,19.03.2025,,,Schneckenburgstraße,79520,,47.6726695167304,9.169578848393028,47.67256358446173,9.169729704644961
03.02.2025,17.03.2025,Schreibergasse,,1,Rheinsteig,30.0,,,28.03.2025,,,Schreibergasse,79548,,47.66541455833348,9.17462644178535,47.66536021654726,9.174699929001303
06.02.2025,24.03.2025,Wollmatingerstraße,,70,Steinstrasse,50.0,,neuer 40 km/h Bereich !!!,27.03.2025,,,Wollmatinger Straße,80038,,47.679095812045865,9.170941852743528,47.67899768378815,9.170917925106185
10.02.2025,24.03.2025,Wollmatingerstraße,,151,Oberlohnstr.,50.0,,neuer 40 km/h Bereich !!!,27.03.2025,,,Wollmatinger Straße,80038,,47.67957184670589,9.167054722846922,47.67972115257197,9.167084034074705
10.02.2025,31.03.2025,Fuerstenbergstraße,,16,Riedstr.,50.0,,Zeitumstellung 31.03.25,24.04.2025,,,Fürstenbergstraße,77910,,47.68700142198718,9.150332219642635,47.68711983526022,9.150381787989486
24.02.2025,15.04.2025,Riedstraße,,34,Fuerstenbergstr.,50.0,,neuer 30 km/h Bereich !!! Zeitumstellung 31.03.25,15.04.2025,,,Riedstraße,79303,,47.68417813378083,9.146994444147085,47.684135459726654,9.147330454267344
24.02.2025,19.03.2025,Schiffstraße,,12,Mainaustr.,50.0,,neuer 30 km/h Bereich !!!/Baustelle,19.03.2025,,,Schiffstraße,79499,,47.68260863424277,9.20543055484479,47.6828005848737,9.205456239760677
10.03.2025,14.04.2025,Höhenweg,,2,Friedrichstr.,30.0,,"Zeitumstellung,31.03.25",24.04.2025,,,Höhenweg,78253,,47.67768591496088,9.185623708908365,47.67775001325326,9.185662469522818
17.03.2025,14.04.2025,Bohlstraße Dingelsdorf,,6,Campingplatz,50.0,,"Zeitumstellung,31.03.25",24.04.2025,,,Bohlstraße,77365,,47.741168075890585,9.153221131241551,47.741063566628554,9.153152800844152
17.03.2025,,Bodanstraße,,21,Bodanplatz,50.0,,"Zeitumstellung,31.03.25",,,,Bodanstraße,77364,,47.65809851099117,9.173021612708942,47.65823229212101,9.173037902581092
19.03.2025,,Schiffstraße,,20,Faehre,50.0,,neuer 30 km/h Bereich !!! Zeitumstellung 31.03.25,,,,Schiffstraße,79499,,47.68251659655355,9.206128109755882,47.68270726794879,9.206153623497228
24.03.2025,,Gartenstraße,,62,Zasiusstr.,50.0,,"Zeitumstellung,31.03.25",,,,Gartenstraße,77938,,47.66624981358255,9.16577238988592,47.6661102457351,9.165751582594153
24.03.2025,,Griesseggstraße,,7,Zoll,50.0,,"Zeitumstellung,31.03.25",,,,Grießeggstraße,78036,,47.66380696856064,9.16075192470998,47.663802465415344,9.160899369279392
24.03.2025,,Radolfzellerstraße,,63,Engelsteig,50.0,,"Zeitumstellung,31.03.25",,,,Radolfzeller Straße,79184,,47.6934357084638,9.143837600860111,47.69355782914597,9.14387128577202
24.03.2025,,Mainaustraße,,74,Staad,50.0,,neuer 40 km/h Bereich !!! Zeitumstellung 31.03.25,,,,Mainaustraße,78799,,47.67375640420829,9.196400085445326,47.673908331354234,9.196333847312491
24.03.2025,,Wollmatingerstraße,,151,Friedhof,50.0,,neuer 40 km/h Bereich !!! Zeitumstellung 31.03.25,,,,Wollmatinger Straße,80038,,47.67957184670589,9.167054722846922,47.67972115257197,9.167084034074705
31.03.2025,,H.-v.-Vicari-Straße,,9,Jakobstrasse,50.0,,,,,,Hermann-von-Vicari-Straße,78225,,47.6743121679132,9.199491544620722,47.674225699204335,9.199345050948875
01.04.2025,,Radolfzellerstraße,,91,Ortsausgang,50.0,,neuer 30 km/h Bereich,,,,Radolfzeller Straße,79184,,47.69440036315768,9.141071944118773,47.69450162686927,9.1411070559535
15.04.2025,,Wollmatingerstraße,,28,Friedhof,50.0,,neuer 40 km/h Bereich,,,,Wollmatinger Straße,80038,,47.67622563313871,9.17971759722782,47.675824268444224,9.17956549095577
14.04.2025,,Höhenweg,,6,Sonnenhaldenschule,20.0,,,,,,Höhenweg,78253,,47.67751811824208,9.185950722002785,47.67759211553678,9.18597456557552
