Start;Ende;"GeDi 
Nummer";ohne Panel;Strasse;Geschwindigkeit;Haus-Nr.;Fahrtrichtung;"Reichweite 
in Meter";"Akkuwechsel
oder Dateiname";;;;;
28.09.2021;21.10.2021;0052;;Eichhornstr.;30;Rosenau;Mainaustr.;50;;11.10. Daten gezogen;;;;
28.09.2021;11.10.2021;8815;;H.-von-Vicari-Str.;30;19;Mainaustr.;50;;Blindmessung;;;;
04.10.2021;18.10.2021;Viasis;;Blumenstrasse;Verkehrsberuhigt;13,11,9;Grossherzog-Friedrich-Strasse;50;;;Viasis;;;
04.10.2021;15.11.2021;6047;;Schiffstrasse;50;Hoehe Haus 20;Faehre;80;;;;;;
04.10.2021;04.10.2021;0491;;Markgrafenstrasse;30;Hoehe Baum Immo.;Gottmannplatz;50;Display von Bus zerstoert;;;;;
11.10.2021;06.12.2021;5797;;Max-Stromeyer-Str.;50;13;Gottmannplatz;100;08.11.2021;;;;;
11.10.2021;15.11.2021;8815;;Hermann-von-Vicari-Str.;30;19;Mainaustr.;50;;;;;;
11.10.2021;06.12.2021;1415;;Radolfzeller Str.;30;27;Ortsausgang;50;;;;;;
11.10.2021;06.12.2021;8816;;Markgrafenstrasse;30;26;Gottmannplatz;50;Display von TBK zerstoert;;;;;
18.10.2021;06.12.2021;9018;;Breslauer Str.;30;Schule;Hardtstr.;50;;;;;;
18.10.2021;06.12.2021;0715;;Fritz-Arnold-Str.;50;gg.6;Stromeyersdorf;50;;;;;;
18.10.2021;08.11.2021;Viasis;;Steinrennen;10;6;Bettweisen;30;;;Viasis;;;
18.10.2021;08.11.2021;Viasis;;Hofhalde;10;4;Wessenbergstr.;30;;;Viasis;;;
25.10.2020;06.12.2021;0052;;Im Grund (Dettingen);30;28-32;Ortsmitte;50;;;;;;
02.11.2021;20.12.2021;8710;;Schwaketenstr.;"Tags 30 ; Abends 50";Grundschule;Uni ;50;14.12.2021;;Statistik erfasst Tag/Nacht nicht;;;
02.11.2021;10.01.2022;9256;;Konzilstr.;30;Bushaltestelle;Innenstadt;50;20.12.2021 + 22.12.2021;Daten gezogen 03.01.22/05.01.22 NeuerText;;;;
08.11.2021;20.12.2021;4621;;Universitaetsstrasse;50;Forstweg;Friedrichstrasse;80;25.11. 2021 + 14.12.2021;;;;;
08.11.2021;29.11.2021;Viasis;;Steinrennen;Verkehrsberuhigt;KiGa;Thingoltstr.;20;;;Viasis;;;
08.11.2021;29.11.2021;Viasis;;Hofhalde;Verkehrsberuhigt;4;Konzilstrasse;30;;;Viasis;;;
15.11.2021;16.12.2021;6047;;Schiffstr.;50;20;Mainaustr.;50;;;;;;
15.11.2021;19.01.2022;8815;;Grenzbachstr.;50;Mittig;Europastr.;50;besprueht worden ;05.01.22 Neuer Text;;;;
29.11.2021;24.01.2022;Viasis;;Clara-Schumann-Str.;10;3;Wendeplatte;40;20.12.21 + 18.01.22;;Viasis;;;
29.11.2021;24.01.2022;Viasis;;Stockackerweg;30;15;Friedrichstr.;50;20.12.21 + 18.01.22;;Viasis;;;
29.11.2021;05.01.2022;4354;;Obere Laube;30;Lutherkirche;Bodanstr.;50;besprueht worden ;;;;;
06.12.2021;07.12.2021;5797;;Max-Stromeyer-Str.;50;Lidl;Stadtauswaerts;50;;;/;;;
02.11.2021;20.12.2021;8710;;Schwaketenstr.;"Tags 30 ; Abends 50";Grundschule;Uni ;50;14.12.2021;04.01.22 Neuer Text;Statistik erfasst Tag/Nacht nicht;;;
06.12.2021;-----;8816;;Markgrafenstrasse;30;Zoo Riedle ;St.Gebhard Str.;100;Abgefahren Defekt;;Display zerstoert ;;;
06.12.2021;04.01.2022;9018;;Gustav-Schwab-Str.;30;KiGa;Moltkestrasse;50;Halterung beschaedigt.;;;;;
06.12.2021;14.12.2021;0715;;Sonnenbuehlstr.;50;89;Friedrichstr.;50;;;;;;
06.12.2021;24.01.2022;0052;;Mainaustr.;50;74;Allmannsdorferstr.;50;besprueht worden ;04.01.22 Neuer Text;;;;
06.12.2022;16.02.2022;1415;;Radolfzeller Str.;30;47;Fuerstenberg;50;;01.02.22 neuer text;;;;
07.12.2021;01.02.2022;5797;;Wollmatinger Str.;50;;Buhlenweg;50;;04.01.22 Neuer Text;;;;
14.12.2021;20.12.2021;0715;;Sonnenbuehlstr.;30;89;Friedrichstr.;50;Vandalismus;ab ca. 13.12.2021 30er-Zone;;;;
16.12.2021;01.02.2022;6047;;Alten Graben ;30;7;Wendeplatz;50;besprueht worden ;05.01.22 Neuer Text;;;;
20.12.2021;16.02.2022;8710;;Sonnenbuehlstr.;30;12;Mainaustr.;50;erneut besprueht worden;04.01.22 Neuer Text;;;;
20.12.2021;02.03.2022;4621;;Austrasse;30;83-85;Cherisy;50;x;04.01.22 Neuer Text;;;;
05.01.2022;04.03.2022;9018;;Obere Laube;30;Lutherkirche;Bodanstr.;50;18.01.2022;05.01.22 Neuer Text;;;;
10.01.2022;16.03.2022;9256;;Mainaustrasse;30;Grundschule;Staad;;18.01.2022;Messung reicht in den 50 km/h Bereich hinein;;;;
